clmn1,clmn2,clmn3,clmn4,clmn5,clmn6,clmn7,clmn8,clmn9,clmn10,clmn11,clmn12,clmn13,clmn14,clmn15,clmn16,clmn17,clmn18,clmn19,clmn20,clmn21,clmn22,clmn23,clmn24,lbl,Out_num
12,3,2.007507011,475.0,1,2,325.0,525.0,200.0,3.0,600.0,0.05,0,1,0,0,1,0,0,0,0,0,1,0,True,1.08025e-06
7,5,6.46037903,487.5,1,4,550.0,562.5,300.0,2.0,400.0,0.005,1,0,0,0,0,1,0,0,1,0,0,0,True,1.2811250000000004e-07
3,1,10.82829942,437.5,5,1,600.0,450.0,300.0,4.0,800.0,0.035,0,1,0,0,0,0,0,1,0,1,0,0,False,0.0293843368
0,8,4.382107568,562.5,1,3,400.0,375.0,300.0,4.0,700.0,0.05,0,0,0,1,0,0,1,0,0,0,1,0,False,0.061641221875
3,6,2.764156579,362.5,10,5,487.5,437.5,200.0,3.0,500.0,0.05,1,0,0,0,1,0,0,0,1,0,0,0,True,6.53225e-09
1,6,1.904309446,625.0,6,2,325.0,412.5,300.0,3.0,600.0,0.045,1,0,0,0,0,0,0,1,0,0,0,1,True,5.856499999999999e-09
6,12,2.180293935,575.0,1,2,400.0,500.0,300.0,4.0,700.0,0.025,1,0,0,0,0,1,0,0,1,0,0,0,True,2.703e-09
2,10,3.890795058,562.5,3,1,387.5,462.5,300.0,4.0,1000.0,0.01,1,0,0,0,0,0,1,0,0,0,0,1,True,8.125000000000001e-06
10,7,3.748736858,512.5,4,5,475.0,437.5,300.0,3.0,700.0,0.03,0,0,1,0,0,0,1,0,0,1,0,0,False,0.0110421883
9,1,1.749152464,387.5,2,3,425.0,475.0,200.0,4.0,600.0,0.02,0,1,0,0,0,0,0,1,0,0,0,1,True,1.8177500000000002e-07
12,3,2.304120883,512.5,3,5,412.5,462.5,200.0,3.0,600.0,0.01,0,0,1,0,0,0,0,1,0,0,1,0,False,0.0034317646999999
